period;cmd;traded_value_exp;traded_value_imp;hhi_exp;hhi_imp;shannon_exp;shannon_imp
2022;01;12401754422.052;17365534127.067;0.08013223004488604;0.2557195327601601;3.1048768487906826;2.3276579224132905
2023;01;10088046636.914;13705690446.62;0.08442203358122373;0.23414227201745547;3.09067467667864;2.381609505296253
1996;05;22896585694.0;24719833782.0;0.19287753150422618;0.1357743571357315;2.4651908593427776;2.7001912309895766
1997;05;24084192376.0;26413398624.0;0.18474868281185752;0.13300414731940755;2.49060568677408;2.742171153990164
1998;05;21442425186.0;22970857904.0;0.1666817915044111;0.12750791362247405;2.6180226678189786;2.8438123544645704
1999;05;21964408606.0;25385435124.0;0.18918500231679497;0.1360568782326525;2.586836982399782;2.8022121182744226
2000;05;23059779754.357;25126047810.3;0.15524052486433415;0.11434763521190013;2.7035845946358887;2.9265765185206467
2001;05;21170463644.827;23212728367.21;0.15374197017088928;0.11796424646766543;2.732788185960049;2.9673308673786725
2002;05;21797423809.807;24355470748.684002;0.1326443511405621;0.11335564887227961;2.8295775650465678;3.0081656769188516
2003;05;23557271123.255;26090364052.074;0.10841309139509887;0.09327392994745916;2.946893396847861;3.115728536212988
2004;05;28829465897.288;31468207129.215;0.1250714295491238;0.11492522543013424;2.8755877713449443;3.0431664270781313
2005;05;30107465591.758;32616554458.974;0.11409505731406976;0.11186817020716094;2.9302197345423315;3.098837704431107
2006;05;32315925404.267;33793958282.05;0.09942525682677765;0.09683910945158736;2.9920840355269336;3.1692519075317334
2007;05;35125954243.818;36899849422.774;0.08115671591371038;0.06573696846019467;3.085727349180236;3.3984491120385933
2008;05;30369083942.687;32074898291.877;0.07176228826793256;0.052119469738439325;3.177861511746212;3.545254625009046
2009;05;23366658717.616;23829641987.171;0.07196890305967821;0.050357178065805225;3.160652120900756;3.5343649266120374
2010;05;28362643359.396;29283548625.078;0.07560290345323596;0.05686074107550395;3.141865808594222;3.468849799916617
2011;05;31029621688.985;32917380717.707;0.07572195180090192;0.06468704354496724;3.139724082633783;3.392892335682947
2012;05;30646279757.502;32128197918.253;0.08008514811861782;0.06639569622342538;3.1221286888158883;3.3973046607492745
2013;05;34719735946.617;35749725527.033;0.08578285325620033;0.07759622181945015;3.0854216160337353;3.3046228032021787
2014;05;37363818742.862;39699641496.529;0.0833895696743331;0.08117791398663615;3.117059639912184;3.2869662913353217
2015;05;26115567231.055;35609166447.343;0.06030741632373001;0.08572383026613793;3.3451775015318943;3.260136206778204
2016;05;26971845211.12;36469556580.599;0.06143438772819729;0.0981882271669414;3.310829631636932;3.1755317827706295
2017;05;28220636750.207;30165672824.634;0.06301661267252617;0.1316863930494487;3.2759924623592283;3.043027744388006
2018;05;38797106079.875;34064279314.227;0.0830670272094622;0.10761225779658418;3.1075577628102296;3.213910695724623
2019;05;35089548989.294;36101423953.583;0.07665708703629755;0.0998372944010499;3.1501565789617127;3.1562798042326423
2020;05;36594193483.596;36610937873.428;0.08442922288934666;0.10976703633063188;3.1041349064984844;3.060954537244884
2021;05;55511719086.325;54065397855.687;0.09726570557627115;0.10607522593903265;2.9902023639572533;3.0918807891613356
2022;05;44417513498.255005;51121636326.647;0.0964528470144418;0.10073396404361118;3.0193050382311544;3.141759303295776
2023;05;32524028765.461998;36021475379.958;0.07968897137376506;0.09889998193932135;3.1380251014341223;3.158428914552328
1996;07;14794763103.0;13988371325.0;0.10110105790366788;0.08932238809240406;2.9317880599921944;3.025142651952732
1997;07;14781864058.0;14378017027.0;0.09393904975262257;0.08720286923340441;2.954567597036281;3.074816775665343
1998;07;13443867765.0;13060308098.0;0.07031125422640937;0.0776617123304857;3.137218017177378;3.2101473095673843
1999;07;14805932703.0;14718594937.0;0.07913165636530059;0.09474229011653132;3.0844979777807997;3.0845911520535667
2000;07;14349305977.153;14757563796.007;0.07515059601189716;0.0827971345663151;3.1198938787222996;3.2065371551060387
2001;07;14087843043.926;14296601557.937;0.07111714355434169;0.07808258002460532;3.149321374636863;3.2839418412538794
2002;07;15749157008.719;15991461911.915;0.06700521511503979;0.0831797725930266;3.173749336020591;3.255185365275476
2003;07;18733098785.239;19317539348.574;0.06816223329154292;0.08970062652756111;3.1864161144514602;3.259671440239156
2004;07;24157416346.682;24936733828.77;0.06825428935634113;0.10547608307009144;3.1959841856396025;3.2008222058707565
2005;07;26028853810.669;25874346007.674;0.06354776739020028;0.1007279505819361;3.233292040482114;3.2752689386821956
2006;07;28323994309.618;27837021102.655;0.06160609718551926;0.08186472078224367;3.230537705922574;3.3989884405708777
2007;07;26929693801.017;27070937757.721;0.07258687984904687;0.06571603036951397;3.1073407460981612;3.323950298859298
2008;07;27272274850.017;28091410335.032;0.07083037816092391;0.04595016712431298;3.182369385493239;3.623521478685899
2009;07;21716966309.912;19605082525.622;0.06886574384926121;0.04792783610880156;3.188961235350281;3.6819763965851102
2010;07;26472350797.565;24282333745.537;0.06618417815852222;0.04635894743365196;3.2329729771019697;3.6937404236821294
2011;07;30335676842.35;28151787010.461998;0.0702321286789613;0.0431565975525498;3.221194671230888;3.7397272965187245
2012;07;30950776425.077;28770549233.771;0.07415016341581945;0.0438652713388845;3.2239973029009503;3.76387426829689
2013;07;32707703750.561;30510535816.288;0.07224943235409588;0.04567777139089243;3.2237062647429973;3.773309307247771
2014;07;34702450607.020996;32022415797.35;0.07619780746277578;0.04469457581915837;3.199470921041884;3.7923045430995503
2015;07;29806441447.689;29448116684.461;0.08418456518755554;0.051129884169239276;3.161242295450717;3.748175247225044
2016;07;29589052257.637;29552588749.221;0.07884284051344494;0.05508329029552646;3.1998132679130853;3.728172517962641
2017;07;33278036586.184;29824593383.639;0.06573081981589647;0.04407559461960359;3.2951497562080507;3.843163811477709
2018;07;37146745125.7;34525797511.549;0.06314582511929065;0.049121623744100805;3.3026620724425246;3.7833135229017203
2019;07;32702945088.135;31671988993.492;0.05836208202943843;0.048429606079285537;3.3616637077566476;3.8109920278684566
2020;07;33030234309.143;31801924940.744;0.05687476017791506;0.057372504463734375;3.3599686720106896;3.707413802773426
2021;07;47455810442.575;45622800241.048;0.05932945924192938;0.07027356332501934;3.3326319797373296;3.624514686944633
2022;07;44309326985.673;47250468884.688;0.05919582420822578;0.07173559500822234;3.3404003442377967;3.5965358953102147
2023;07;37290776243.189;36520880012.069;0.05840539505050641;0.051860040806413675;3.362144225065232;3.7541076686691874
